2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.BasicTypeReference@b7c4869
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration calendar_time -> org.hibernate.type.BasicTypeReference@740d2e78
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration instant -> org.hibernate.type.BasicTypeReference@1c481ff2
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.BasicTypeReference@1c481ff2
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration uuid -> org.hibernate.type.BasicTypeReference@72437d8d
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.BasicTypeReference@72437d8d
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration pg-uuid -> org.hibernate.type.BasicTypeReference@72437d8d
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration uuid-binary -> org.hibernate.type.BasicTypeReference@1b955cac
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration uuid-char -> org.hibernate.type.BasicTypeReference@676cf48
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration class -> org.hibernate.type.BasicTypeReference@5a1de7fb
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.BasicTypeReference@5a1de7fb
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.BasicTypeReference@335b5620
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration Currency -> org.hibernate.type.BasicTypeReference@335b5620
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.BasicTypeReference@335b5620
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.BasicTypeReference@29a0cdb
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.BasicTypeReference@29a0cdb
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration serializable -> org.hibernate.type.BasicTypeReference@32a68f4f
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration java.io.Serializable -> org.hibernate.type.BasicTypeReference@32a68f4f
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.BasicTypeReference@73194df
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.BasicTypeReference@73194df
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration ZoneOffset -> org.hibernate.type.BasicTypeReference@6eb2384f
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration java.time.ZoneOffset -> org.hibernate.type.BasicTypeReference@6eb2384f
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration url -> org.hibernate.type.BasicTypeReference@3c9c0d96
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.BasicTypeReference@3c9c0d96
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration vector -> org.hibernate.type.BasicTypeReference@3a4621bd
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration row_version -> org.hibernate.type.BasicTypeReference@31dadd46
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration object -> org.hibernate.type.JavaObjectType@21a21c64
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration java.lang.Object -> org.hibernate.type.JavaObjectType@21a21c64
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration null -> org.hibernate.type.NullType@1afdd473
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration imm_date -> org.hibernate.type.BasicTypeReference@40238dd0
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration imm_time -> org.hibernate.type.BasicTypeReference@7776ab
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration imm_timestamp -> org.hibernate.type.BasicTypeReference@79179359
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration imm_calendar -> org.hibernate.type.BasicTypeReference@dbd8e44
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration imm_calendar_date -> org.hibernate.type.BasicTypeReference@51acdf2e
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration imm_calendar_time -> org.hibernate.type.BasicTypeReference@6a55299e
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration imm_binary -> org.hibernate.type.BasicTypeReference@2f1de2d6
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration imm_serializable -> org.hibernate.type.BasicTypeReference@4eb386df
2025-06-26 09:16:55 [main] WARN  pooling - HHH10001002: Using built-in connection pool (not intended for production use)
2025-06-26 09:16:55 [main] INFO  pooling - HHH10001005: Loaded JDBC driver class: org.sqlite.JDBC
2025-06-26 09:16:55 [main] INFO  pooling - HHH10001012: Connecting with JDBC URL [jdbc:sqlite:JocMemoryMPP.sqlite]
2025-06-26 09:16:55 [main] INFO  pooling - HHH10001001: Connection properties: {}
2025-06-26 09:16:55 [main] INFO  pooling - HHH10001003: Autocommit mode: false
2025-06-26 09:16:55 [main] DEBUG pooling - Initializing Connection pool with 1 Connections
2025-06-26 09:16:55 [main] INFO  pooling - HHH10001115: Connection pool size: 20 (min=1)
2025-06-26 09:16:55 [main] DEBUG JdbcEnvironmentInitiator - Database ->
       name : SQLite
    version : 3.45.3
      major : 3
      minor : 45
2025-06-26 09:16:55 [main] DEBUG JdbcEnvironmentInitiator - Driver ->
       name : SQLite JDBC
    version : 3.45.3.0
      major : 3
      minor : 45
2025-06-26 09:16:55 [main] DEBUG JdbcEnvironmentInitiator - JDBC version : 4.2
2025-06-26 09:16:55 [main] DEBUG dialect - HHH035001: Using dialect: org.hibernate.community.dialect.SQLiteDialect, version: 3.45
2025-06-26 09:16:55 [main] DEBUG IdentifierHelperBuilder - JDBC driver metadata reported database stores quoted identifiers in neither upper, lower nor mixed case
2025-06-26 09:16:55 [main] DEBUG IdentifierHelperBuilder - IdentifierCaseStrategy for both quoted and unquoted identifiers was set to the same strategy [MIXED]; that will likely lead to problems in schema update and validation if using quoted identifiers
2025-06-26 09:16:55 [main] DEBUG lob - HHH10010005: Disabling contextual LOB creation as createClob() method threw error : java.sql.SQLFeatureNotSupportedException
2025-06-26 09:16:55 [main] DEBUG JdbcTypeRegistry - addDescriptor(2005, ClobTypeDescriptor(STREAM_BINDING)) replaced previous registration(ClobTypeDescriptor(DEFAULT))
2025-06-26 09:16:55 [main] DEBUG JdbcTypeRegistry - addDescriptor(2004, BlobTypeDescriptor(PRIMITIVE_ARRAY_BINDING)) replaced previous registration(BlobTypeDescriptor(DEFAULT))
2025-06-26 09:16:55 [main] DEBUG JdbcTypeRegistry - addDescriptor(2005, ClobTypeDescriptor(STRING_BINDING)) replaced previous registration(ClobTypeDescriptor(STREAM_BINDING))
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration org.hibernate.type.DurationType -> basicType@1(java.time.Duration,3015)
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration Duration -> basicType@1(java.time.Duration,3015)
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration java.time.Duration -> basicType@1(java.time.Duration,3015)
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration org.hibernate.type.OffsetDateTimeType -> basicType@2(java.time.OffsetDateTime,3003)
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration OffsetDateTime -> basicType@2(java.time.OffsetDateTime,3003)
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> basicType@2(java.time.OffsetDateTime,3003)
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration org.hibernate.type.ZonedDateTimeType -> basicType@3(java.time.ZonedDateTime,3003)
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration ZonedDateTime -> basicType@3(java.time.ZonedDateTime,3003)
